Date,Open,High,Low,Close,Adj Close,Volume
2023-05-05,60.119999,61.080002,59.750000,60.689999,60.689999,11258900
2023-05-08,60.619999,61.150002,58.930000,58.959999,58.959999,17632100
2023-05-09,58.650002,59.650002,58.580002,58.959999,58.959999,13373200
2023-05-10,58.270000,58.889999,56.470001,56.849998,56.849998,21378600
2023-05-11,56.400002,58.000000,56.310001,57.930000,57.930000,14178100
2023-05-12,58.080002,58.389999,57.740002,58.090000,58.090000,9461900
2023-05-15,58.400002,58.880001,58.160000,58.520000,58.520000,9155600
2023-05-16,58.770000,58.869999,58.009998,58.139999,58.139999,10516000
2023-05-17,58.700001,59.169998,58.180000,58.919998,58.919998,9549100
2023-05-18,58.820000,58.849998,57.770000,58.250000,58.250000,11296800
2023-05-19,59.060001,60.230000,58.970001,59.130001,59.130001,16006400
2023-05-22,59.099998,59.529999,58.709999,59.040001,59.040001,9445200
2023-05-23,59.650002,60.310001,59.250000,59.680000,59.680000,9639200
2023-05-24,60.169998,60.349998,59.119999,59.389999,59.389999,10665800
2023-05-25,58.610001,59.099998,58.270000,58.810001,58.810001,10362900
2023-05-26,59.119999,59.230000,58.560001,58.939999,58.939999,9946000
2023-05-30,58.110001,58.799999,57.900002,58.590000,58.590000,12529400
2023-05-31,58.349998,58.509998,57.520000,57.660000,57.660000,15280300
2023-06-01,57.689999,59.049999,57.529999,58.119999,58.119999,10189800
2023-06-02,59.020000,59.990002,58.709999,59.689999,59.689999,14455000
2023-06-05,60.790001,60.790001,59.389999,59.400002,59.400002,8796500
2023-06-06,58.669998,59.590000,58.490002,59.439999,59.439999,8606300
